P10_001N,P10_002N,P10_003N,P10_004N,P10_005N,P10_006N,P10_007N,P10_008N,P10_009N,state,county,tract,block
119,117,46,12,0,52,0,7,2,42,101,004104,2006
118,117,105,2,0,10,0,0,1,42,101,004202,3001
115,115,88,6,6,15,0,0,0,42,101,004202,3002
137,136,112,1,0,8,0,15,1,42,101,004202,3003
106,98,55,0,0,43,0,0,8,42,101,004202,3005
119,118,51,15,0,44,0,8,1,42,101,004202,3006
149,148,107,10,0,26,0,5,1,42,101,004202,3007
139,135,109,0,0,25,0,1,4,42,101,004202,3008
60,55,53,0,0,0,0,2,5,42,101,004202,4000
1,0,0,0,0,0,0,0,1,42,101,004202,4001
110,109,104,0,0,5,0,0,1,42,101,004202,4002
91,89,59,2,1,20,0,7,2,42,101,004202,4003
106,104,73,10,0,15,0,6,2,42,101,004202,4004
97,83,17,8,0,52,0,6,14,42,101,004104,2003
114,106,24,18,0,46,0,18,8,42,101,004104,2004
107,106,31,3,2,54,0,16,1,42,101,004104,2005
95,87,43,7,0,26,0,11,8,42,101,004104,2007
118,110,60,4,1,22,0,23,8,42,101,004104,2008
111,108,60,1,1,32,0,14,3,42,101,004104,2009
125,120,57,1,1,43,0,18,5,42,101,004104,2010
132,124,47,16,0,25,0,36,8,42,101,004104,2011
86,84,54,8,0,17,0,5,2,42,101,004104,2012
126,114,29,15,0,47,0,23,12,42,101,004104,2013
104,101,29,11,5,33,0,23,3,42,101,004104,2014
132,125,41,3,0,60,0,21,7,42,101,004104,2015
139,136,36,27,2,43,0,28,3,42,101,004104,2016
134,124,38,7,1,56,0,22,10,42,101,004104,2017
160,156,43,9,0,95,1,8,4,42,101,004104,2018
0,0,0,0,0,0,0,0,0,42,101,004201,1000
110,101,96,2,0,1,0,2,9,42,101,004201,1001
87,76,74,0,0,0,0,2,11,42,101,004201,1002
88,88,81,1,0,4,0,2,0,42,101,004201,1003
94,87,84,3,0,0,0,0,7,42,101,004201,1004
0,0,0,0,0,0,0,0,0,42,101,004201,1005
93,93,74,3,0,11,0,5,0,42,101,004201,1006
105,102,102,0,0,0,0,0,3,42,101,004201,1007
0,0,0,0,0,0,0,0,0,42,101,004201,2000
99,95,83,0,0,7,0,5,4,42,101,004201,2001
115,115,78,3,0,25,0,9,0,42,101,004201,2002
74,74,27,20,0,18,0,9,0,42,101,004201,2003
62,57,31,4,0,14,0,8,5,42,101,004201,2004
121,103,40,15,0,43,0,5,18,42,101,004201,2005
109,104,92,0,0,5,0,7,5,42,101,004201,2006
141,133,119,3,0,5,0,6,8,42,101,004201,2007
93,90,90,0,0,0,0,0,3,42,101,004201,2008
145,143,123,4,0,16,0,0,2,42,101,004201,2009
119,119,52,10,0,45,0,12,0,42,101,004201,2010
112,104,80,4,0,20,0,0,8,42,101,004202,3004
117,113,68,4,0,35,0,6,4,42,101,004202,4005
109,102,93,0,0,9,0,0,7,42,101,004202,4006
109,101,97,0,0,3,0,1,8,42,101,004202,4007
0,0,0,0,0,0,0,0,0,42,101,005400,1000
0,0,0,0,0,0,0,0,0,42,101,005400,1001
0,0,0,0,0,0,0,0,0,42,101,005400,1002
597,576,112,435,4,13,1,11,21,42,101,005400,1003
0,0,0,0,0,0,0,0,0,42,101,005400,1004
0,0,0,0,0,0,0,0,0,42,101,005400,1005
0,0,0,0,0,0,0,0,0,42,101,005400,1006
7,5,4,0,0,1,0,0,2,42,101,005400,1007
368,356,13,294,1,48,0,0,12,42,101,005400,1008
14,10,0,10,0,0,0,0,4,42,101,005400,1009
0,0,0,0,0,0,0,0,0,42,101,005400,1010
14,14,8,6,0,0,0,0,0,42,101,005400,1011
0,0,0,0,0,0,0,0,0,42,101,005400,1012
2,2,1,0,0,1,0,0,0,42,101,005400,1013
0,0,0,0,0,0,0,0,0,42,101,005400,1014
0,0,0,0,0,0,0,0,0,42,101,005500,1000
0,0,0,0,0,0,0,0,0,42,101,005500,1001
0,0,0,0,0,0,0,0,0,42,101,005500,1002
0,0,0,0,0,0,0,0,0,42,101,005500,1003
250,242,191,27,1,23,0,0,8,42,101,013602,2002
94,90,72,6,2,10,0,0,4,42,101,013602,1007
81,77,73,4,0,0,0,0,4,42,101,013602,2000
82,80,65,7,0,6,0,2,2,42,101,013602,2001
75,73,66,5,0,2,0,0,2,42,101,013602,2003
49,43,29,13,1,0,0,0,6,42,101,013602,2004
31,30,26,3,1,0,0,0,1,42,101,013602,2005
0,0,0,0,0,0,0,0,0,42,101,013602,2006
120,116,97,3,0,7,0,9,4,42,101,013602,2007
123,121,104,3,0,12,2,0,2,42,101,013602,2008
78,76,70,1,0,5,0,0,2,42,101,013602,2009
63,62,62,0,0,0,0,0,1,42,101,013602,2010
106,97,87,10,0,0,0,0,9,42,101,013602,2011
48,45,43,1,0,1,0,0,3,42,101,013602,2012
97,92,78,1,0,3,0,10,5,42,101,013602,3000
134,130,93,22,0,6,0,9,4,42,101,013602,3001
57,49,27,15,0,3,0,4,8,42,101,013602,3002
100,100,87,9,0,4,0,0,0,42,101,013602,3003
136,127,105,8,0,10,0,4,9,42,101,013602,3004
78,78,70,5,1,0,0,2,0,42,101,013602,3005
102,100,77,10,0,12,0,1,2,42,101,013602,3006
101,90,74,3,0,3,0,10,11,42,101,013602,3007
99,94,85,0,0,8,0,1,5,42,101,013602,3008
116,95,85,0,0,6,0,4,21,42,101,013602,4000
110,105,88,10,0,5,1,1,5,42,101,013602,4001
120,112,104,1,1,6,0,0,8,42,101,013602,4002
94,92,85,5,0,1,0,1,2,42,101,013602,4003
82,76,72,4,0,0,0,0,6,42,101,013602,4004
88,79,71,2,2,3,0,1,9,42,101,013602,4005
103,87,8,73,0,6,0,0,16,42,101,013701,1000
0,0,0,0,0,0,0,0,0,42,101,013701,1001
7,5,5,0,0,0,0,0,2,42,101,013701,1002
47,44,4,37,0,0,0,3,3,42,101,013701,1003
11,9,3,5,0,1,0,0,2,42,101,013701,1004
41,36,34,1,0,1,0,0,5,42,101,014400,3025
90,85,71,2,0,7,0,5,5,42,101,014400,3022
74,74,55,11,0,0,0,8,0,42,101,014400,3023
61,54,39,10,0,4,0,1,7,42,101,014400,3024
9,8,3,1,0,3,0,1,1,42,101,014400,3026
