P10_001N,P10_002N,P10_003N,P10_004N,P10_005N,P10_006N,P10_007N,P10_008N,P10_009N,state,county,tract,block group
5,5,5,0,0,0,0,0,0,42,101,037800,3
576,521,248,186,9,58,0,20,55,42,101,037700,3
0,0,0,0,0,0,0,0,0,42,101,037800,1
686,662,588,24,1,25,0,24,24,42,101,037800,2
0,0,0,0,0,0,0,0,0,42,101,037800,4
511,447,370,29,6,11,0,31,64,42,101,037800,5
5,5,0,1,0,0,0,4,0,42,101,037800,6
9,6,5,1,0,0,0,0,3,42,101,037800,7
843,816,708,36,2,48,0,22,27,42,101,037800,8
601,572,527,4,2,8,0,31,29,42,101,037900,1
663,640,48,583,5,0,0,4,23,42,101,038900,1
1149,1043,94,485,15,131,0,318,106,42,101,029000,1
2155,1966,196,874,15,377,0,504,189,42,101,029000,2
1307,1211,124,496,16,292,1,282,96,42,101,029000,3
520,478,54,264,2,72,0,86,42,42,101,029100,1
1282,1210,93,570,13,282,0,252,72,42,101,029100,2
1037,954,133,249,2,357,0,213,83,42,101,029100,3
592,542,34,164,3,172,0,169,50,42,101,029100,4
1592,1403,184,480,14,166,3,556,189,42,101,029200,1
981,868,218,332,6,65,0,247,113,42,101,029200,2
595,549,130,287,2,17,2,111,46,42,101,029200,3
834,775,246,309,15,17,1,187,59,42,101,029300,1
1286,1165,328,424,16,21,5,371,121,42,101,029300,2
566,504,83,287,6,6,0,122,62,42,101,029400,1
1019,912,273,355,9,11,0,264,107,42,101,029400,2
818,753,212,322,4,35,0,180,65,42,101,029400,3
736,689,208,300,2,6,2,171,47,42,101,029800,1
792,707,178,315,7,20,2,185,85,42,101,029800,2
576,539,204,191,0,7,2,135,37,42,101,029800,3
770,705,249,245,9,35,1,166,65,42,101,029800,4
564,503,154,213,8,12,4,112,61,42,101,029800,5
840,778,86,525,7,6,0,154,62,42,101,029900,1
851,833,804,10,2,5,0,12,18,42,101,037900,2
679,655,562,27,1,36,0,29,24,42,101,037900,3
618,598,566,18,0,8,2,4,20,42,101,037900,4
700,669,643,11,3,7,1,4,31,42,101,037900,5
859,816,752,14,1,28,0,21,43,42,101,037900,6
916,822,560,86,1,21,0,154,94,42,101,038000,1
952,868,533,139,7,25,2,162,84,42,101,038000,2
565,541,296,145,5,7,0,88,24,42,101,038100,1
666,615,387,100,0,8,2,118,51,42,101,038200,1
641,598,468,55,2,3,2,68,43,42,101,038200,2
750,684,290,169,4,22,3,196,66,42,101,038200,3
2053,1792,331,528,13,12,3,905,261,42,101,038301,1
873,825,705,77,2,30,0,11,48,42,101,038400,1
1111,1062,886,103,3,64,0,6,49,42,101,038400,2
1591,1512,1380,56,2,56,0,18,79,42,101,038500,1
1092,1019,864,108,0,42,0,5,73,42,101,038600,1
1322,1281,1110,119,1,34,0,17,41,42,101,038700,1
622,613,392,129,0,9,1,82,9,42,101,038700,2
642,596,350,217,0,12,1,16,46,42,101,038800,1
920,871,632,196,2,33,2,6,49,42,101,038800,2
648,595,338,232,2,14,1,8,53,42,101,038800,3
977,914,571,284,3,43,0,13,63,42,101,038800,4
494,480,0,467,2,0,0,11,14,42,101,009500,1
925,899,23,856,0,3,0,17,26,42,101,009400,2
449,436,2,410,0,23,0,1,13,42,101,009400,3
947,910,29,865,1,7,0,8,37,42,101,009400,4
637,618,12,591,7,0,0,8,19,42,101,009500,2
1274,1214,7,1174,9,9,0,15,60,42,101,009500,3
906,873,11,829,0,2,0,31,33,42,101,009600,1
549,510,15,468,0,20,0,7,39,42,101,009600,2
626,608,11,587,5,1,0,4,18,42,101,009600,3
573,547,14,520,0,9,0,4,26,42,101,009600,4
565,541,18,509,0,7,0,7,24,42,101,009600,5
785,754,95,631,0,13,0,15,31,42,101,009801,1
927,888,77,774,0,29,0,8,39,42,101,009801,2
1430,1393,105,1253,0,18,0,17,37,42,101,009802,1
1513,1465,133,1290,4,21,0,17,48,42,101,009802,2
1275,1231,116,1068,2,26,0,19,44,42,101,009802,3
1079,1031,110,887,6,10,0,18,48,42,101,010000,1
569,561,38,497,4,12,0,10,8,42,101,010000,2
542,520,31,476,0,2,0,11,22,42,101,010000,3
1269,1232,76,1123,4,22,0,7,37,42,101,010000,4
652,625,9,599,1,2,0,14,27,42,101,010100,1
641,622,7,598,2,10,0,5,19,42,101,010100,2
554,541,8,517,3,4,0,9,13,42,101,010100,3
703,666,24,605,1,6,0,30,37,42,101,010100,4
515,499,19,467,1,1,0,11,16,42,101,010100,5
754,733,8,713,0,4,0,8,21,42,101,010100,6
543,524,9,486,2,8,0,19,19,42,101,010100,7
562,537,9,521,1,0,0,6,25,42,101,010200,1
779,746,14,715,2,6,0,9,33,42,101,010200,2
931,902,9,883,1,2,0,7,29,42,101,010200,3
1008,973,22,930,4,3,1,13,35,42,101,010300,1
907,873,27,810,3,12,0,21,34,42,101,010300,2
1084,1044,47,959,2,21,0,15,40,42,101,010400,1
683,659,100,546,2,2,0,9,24,42,101,010400,2
591,509,191,133,5,33,1,146,82,42,101,029900,2
562,501,144,196,9,9,2,141,61,42,101,029900,3
1111,991,230,484,10,6,0,261,120,42,101,029900,4
1513,1404,273,712,16,62,3,338,109,42,101,030000,1
1456,1340,282,790,6,34,2,226,116,42,101,030000,2
986,905,224,518,5,16,1,141,81,42,101,030000,3
1387,1276,166,908,8,22,0,172,111,42,101,030000,4
753,681,104,420,2,18,0,137,72,42,101,030100,1
1644,1515,386,904,8,20,1,196,129,42,101,030100,2
547,496,120,254,7,15,0,100,51,42,101,030100,3
590,523,117,265,4,15,0,122,67,42,101,030100,4
1066,970,278,547,4,22,2,117,96,42,101,030100,5
1248,1139,228,630,10,52,0,219,109,42,101,030200,1
880,857,20,822,1,3,0,11,23,42,101,010400,3
1235,1191,53,1086,13,16,2,21,44,42,101,010500,1
462,417,304,38,2,62,0,11,45,42,101,036600,1
2079,1958,1384,259,0,253,0,62,121,42,101,036501,3
2069,1981,1761,65,4,90,0,61,88,42,101,036502,1
1215,1161,1041,34,2,52,0,32,54,42,101,036502,2
376,369,307,9,1,41,0,11,7,42,101,036600,2
804,763,629,29,2,88,0,15,41,42,101,036600,3
349,313,227,44,3,38,0,1,36,42,101,036600,4
255,236,205,14,0,17,0,0,19,42,101,036700,1
1906,1770,1342,239,0,147,0,42,136,42,101,036700,2
1270,1184,954,67,2,129,1,31,86,42,101,036700,3
